repo,fix_period,BIC_sha,BIC_time,BIC_files_count,BIC_file_changes,BFC_sha,BFC_time,BFC_files_count,BFC_file_changes
libjpeg-turbo/libjpeg-turbo,107,300a344d653d4a8779706e42828d945c6a53ff9d,2023-07-30T15:02:29Z,1,3,837e471a90e79b37cb4f7ef9950321f48c7c5f41,2023-11-14T16:17:25Z,2,38
libjpeg-turbo/libjpeg-turbo,297,479501b07c0afd8912a0e0f5b4740cfce9a89a4c,2019-01-21T19:57:55Z,2,23,c0b16e3d2b35b5b5d805832fcfa615300c6e345b,2019-11-15T19:29:11Z,2,10
libjpeg-turbo/libjpeg-turbo,545,a09ba29a55b9a43d346421210d94370065eeaf53,2016-09-07T21:40:10Z,2,24,c743009717878cb22a5434c798dae5d3879d6ca2,2018-03-06T22:10:14Z,2,5
libjpeg-turbo/libjpeg-turbo,11,dfefba77520ded5c5fd4864e76352a5f3eb23e74,2016-09-22T19:19:29Z,2,10,a0047bdea4d11dfeefb9ea797865b1a2ea0a665e,2016-10-04T18:25:34Z,1,2
libjpeg-turbo/libjpeg-turbo,14,a09ba29a55b9a43d346421210d94370065eeaf53,2016-09-07T21:40:10Z,2,24,dfefba77520ded5c5fd4864e76352a5f3eb23e74,2016-09-22T19:19:29Z,2,10
varnishcache/varnish-cache,8,eabe58bc6633012dd01ba8f2a131f4e8cd351b2e,2021-05-25T10:39:38Z,6,72,3730f544db89ab487c0e0e775969edf9c12f63b6,2021-06-03T06:39:32Z,5,13
varnishcache/varnish-cache,2,c1352b0b0ece8028317c838751d9042a55347cd5,2021-01-08T15:17:52Z,2,35,05356fb7c6c10d3ddd9766f474da679046922422,2021-01-11T12:18:09Z,2,8
varnishcache/varnish-cache,158,340abd0456e4,2019-06-03T07:22:10Z,4,19,46a6a3af681644f43e2e813ee68f8bd53b4cd1bb,2019-11-08T18:10:48Z,2,18
DPDK/dpdk,188,b10231aed1ed,2020-06-18T08:15:55Z,1,25,a91fb48a8c248293f1035cdd8b36ad712ae9478f,2020-12-23T14:15:49Z,1,2
unbit/uwsgi,34,00dce4265784903a3bf440834ab269fceaf5a14b,2018-03-29T16:07:06Z,1,10,a6b1680f119306fb5995d649b9ff17f46f28838a,2018-05-03T09:35:44Z,1,16
krakjoe/pthreads,0,edf81d3cc0f34c1fcb3f8f14435a9a122f6e482f,2017-11-02T09:18:23Z,1,8,4e296c542294ddc65bdb9c10ae6e1dd770a986e7,2017-11-02T17:12:46Z,1,2
iNavFlight/inav,8,c06fd78b834582349e1aaed07f582ae0c9fd3462,2014-10-28T15:49:02Z,1,2,db36cfe12e70171c8d986b8587e2183dad0dc156,2014-11-05T19:39:13Z,6,28
collectd/collectd,120,3b9c7b2,2019-02-18T13:46:55Z,1,10,e8719df2ed7b9480ffcecc0b68993b74a0714b11,2019-06-19T08:32:11Z,6,15
collectd/collectd,120,3b9c7b2,2019-02-18T13:46:55Z,1,10,a07f44c9cd5828a84545dcfe22544bfed2ea8812,2019-06-19T08:32:11Z,6,15
containers/crun,6,7179d71afd608f5e85740b2b4b83f9b41fbe1b15,2020-06-13T13:56:10Z,1,55,9085e62fa2d540f1e5b2b08f8b08143a3c5df064,2020-06-19T18:06:40Z,3,24
containers/crun,1,fe15d5651a132288f1e894c60f75852beea217e2,2019-11-08T22:11:42Z,1,29,785675f88f9ee37b7faa9bec98c76caffda51afd,2019-11-09T22:45:57Z,1,7
containers/crun,22,d1f136875a205e2055215776e3d46f7b55065865,2019-07-27T20:11:07Z,1,51,53e4621a62faf6a0e561bbb878a847e11c1a947a,2019-08-19T12:29:15Z,1,2
checkpoint-restore/criu,634,01f8f8f4,2011-11-16T20:59:08Z,3,36,01f113ecd3c7d6ed510f4076d1eda76fd9d2e6be,2013-08-12T05:17:02Z,3,8
hexchat/hexchat,109,03767ee0f98,2016-07-24T22:08:09Z,5,17,e7c88e0f83f40f9d020aa7d2783e95dff55f323f,2016-11-11T05:44:07Z,1,17
NetHack/NetHack,5,f218e3f15e2d5525e817fb07e6a8b4773f296073,2019-05-18T09:25:48Z,5,57,ba5efe7f61598b731f7c8d0c28ecc43e2a978061,2019-05-24T08:33:45Z,2,20
xemu-project/xemu,2796,4987783400,2016-02-15T18:57:57Z,1,4,930e239d11e28a3e8c01bae6c38f8894cfe66eb3,2023-10-13T10:58:39Z,6,24
xemu-project/xemu,802,2f2b18f60bf1,2018-12-03T07:05:17Z,1,12,df72184ec15829053b3bb5a0d5801773b6d9ec25,2021-02-12T13:52:50Z,1,19
xemu-project/xemu,365,cd5ff8333a,2019-06-10T13:10:07Z,6,12,32a354dc6c07d766e70b51f42a62d8cd479e3f82,2020-06-09T13:56:35Z,8,60
xemu-project/xemu,372,e6df58a5,2019-05-08T21:18:18Z,1,3,0eaf453ebf6788885fbb5d40426b154ef8805407,2020-05-15T06:36:07Z,1,6
xemu-project/xemu,164,848a1cc1e,2018-03-11T03:02:13Z,1,56,dbb6da8ba7e02105bdbb33b527e088249c9843c8,2018-08-22T09:46:44Z,1,73
xemu-project/xemu,133,d62644b4,2017-11-14T23:23:34Z,1,70,4ae4bf5bb16bd8e5b94433db9fe8265d30c53ba3,2018-03-28T16:36:25Z,1,34
xemu-project/xemu,298,42043e4,2017-01-27T12:24:58Z,3,75,6dd836f5d32b989e18c6dda655a26f4d73a52f6a,2017-11-21T20:16:43Z,1,4
xemu-project/xemu,417,aab9913,2016-05-12T03:48:21Z,2,13,82a93a1d307064f35c363f79b04b0a0149ac53d9,2017-07-03T10:20:53Z,2,26
xemu-project/xemu,6,9b6a3ea7a699594,2016-10-04T12:28:10Z,1,7,fb0e8e79a9d77ee240dbca036fa8698ce654e5d1,2016-10-10T15:26:03Z,2,36
xemu-project/xemu,171,595a4f07,2015-07-15T05:37:43Z,2,87,349a3b1cc9023f67f8fa336cb3c4a8f21a4aaaf3,2016-01-02T08:02:20Z,1,8
xemu-project/xemu,13,5d24ee70bcbcf578614193526bcd5ed30a8eb16c,2014-01-02T02:46:59Z,2,28,d32934c84c72f57e78d430c22974677b7bcabe5d,2014-01-15T03:37:09Z,1,8
xemu-project/xemu,5,fb6d1bbd246c7a57ef53d3847ef225cd1349d602,2013-02-08T07:49:10Z,1,11,8a8f5840082eb65d140ccfe7b128c92390cce1c3,2013-02-13T08:25:34Z,1,4
xemu-project/xemu,320,b9d03e352cb6b31a66545763f6a1e20c9abf0c2c,2012-03-22T10:02:24Z,1,45,ddcb73b7782cb6104479503faea04cc224f982b5,2013-02-05T19:00:21Z,1,42
xemu-project/xemu,224,80376c3fc2c38fdd45354e4b0eb45031f35587ed,2010-12-20T05:33:35Z,3,20,2da8bb92fb128e686dc9e055defbc5652f7c001d,2011-08-02T01:59:13Z,1,14
xemu-project/xemu,22,703e0e89,2010-03-19T21:21:13Z,3,27,81bbe906c89b6b7af58a1eeb96ec5a0bfdc3386f,2010-04-11T19:07:35Z,3,41
tvheadend/tvheadend,0,86f3617c8972c5362e51cee7d34cc2d69d799126,2022-09-15T00:31:24Z,1,3,4741b3c1901d4c998b1c5ef7c777728b4827e828,2022-09-15T10:49:46Z,1,2
