name,stars,commits
akopytov/sysbench,6280,1001
peng-zhihui/HelloWord-Keyboard,6276,6
microsoft/WinObjC,6249,3064
rui314/8cc,6214,750
Next-Flip/Momentum-Firmware,6193,4945
sparklemotion/nokogiri,6181,6321
vk-com/kphp-kdb,6130,13
yourtion/30dayMakeOS,6092,265
netblue30/firejail,6071,6982
Provenance-Emu/Provenance,6068,5743
nanomsg/nanomsg,6062,1520
JoeDog/siege,6049,373
madler/zlib,6035,668
google/ios-webkit-debug-proxy,6018,138
mgba-emu/mgba,5996,8433
neutrinolabs/xrdp,5992,3201
wszqkzqk/deepin-wine-ubuntu,5979,138
jonls/redshift,5979,465
lpereira/lwan,5952,3766
nelhage/reptyr,5932,269
hishamhm/htop,5861,835
Airblader/i3,5857,5350
ldcsaa/HP-Socket,5856,166
Zelda64Recomp/Zelda64Recomp,5847,410
aircrack-ng/aircrack-ng,5846,3779
ponylang/ponyc,5805,5725
Meituan-Dianping/Logan,5783,158
pawelsalawa/sqlitestudio,5782,9351
tmate-io/tmate,5765,3755
ravynsoft/ravynos,5762,18821
grbl/grbl,5751,479
FASTSHIFT/X-TRACK,5743,204
Mbed-TLS/mbedtls,5743,27134
cmus/cmus,5716,1880
istoreos/istoreos,5708,32784
zmap/zmap,5701,1182
RediSearch/RediSearch,5693,4580
RPISEC/MBE,5619,18
Meituan-Dianping/SQLAdvisor,5618,9
kbengine/kbengine,5575,5003
LumaTeam/Luma3DS,5560,1510
AFLplusplus/AFLplusplus,5546,5901
libfuse/libfuse,5546,1808
edenhill/kcat,5529,338
mozilla/mozjpeg,5523,3899
RMerl/asuswrt-merlin.ng,5516,3849
libusb/libusb,5507,1461
ZipArchive/ZipArchive,5495,544
axboe/fio,5490,5154
nginx/unit,5477,2814
mcmilk/7-Zip-zstd,5471,420
RIOT-OS/RIOT,5470,43973
olikraus/u8g2,5468,2820
littlefs-project/littlefs,5450,726
dokan-dev/dokany,5444,1271
winfsp/sshfs-win,5436,90
jagt/clumsy,5422,105
guanzhi/GmSSL,5413,715
ufrisk/pcileech,5411,180
hathach/tinyusb,5391,6545
justinfrankel/licecap,5389,111
SecWiki/linux-kernel-exploits,5387,95
haproxy/haproxy,5385,21324
CameraKit/camerakit-android,5383,359
mruby/mruby,5347,16099
kornelski/pngquant,5332,1151
swiftlang/swift-corelibs-foundation,5331,4524
palera1n/palera1n,5322,514
Tencent/puerts,5304,3590
memononen/nanovg,5291,243
xufuji456/FFmpegAndroid,5270,529
facebook/fishhook,5267,27
nesbox/TIC-80,5265,2413
asg017/sqlite-vec,5260,350
baidu/dperf,5246,256
bytecodealliance/wasm-micro-runtime,5231,2064
cjdelisle/cjdns,5230,2603
lmarzen/esp32-weather-epd,5225,419
mjolnirapp/mjolnir,5207,86
jedisct1/dsvpn,5195,282
GNOME/gimp,5194,26230
pervognsen/bitwise,5150,549
TelegramMessenger/MTProxy,5083,36
b4winckler/macvim,5082,5068
tinyproxy/tinyproxy,5076,911
OISF/suricata,5042,21043
visit1985/mdp,5039,68
rainmeter/rainmeter,5023,3367
antirez/sds,5019,48
vmg/redcarpet,5015,543
zeldaret/oot,5009,2713
andmarti1424/sc-im,4972,1114
RubyMetric/chsrc,4967,1091
tboox/tbox,4958,3317
arthenica/ffmpeg-kit,4958,331
tianocore/edk2,4949,12826
clibs/clib,4939,304
MrGlockenspiel/activate-linux,4929,212
P-H-C/phc-winner-argon2,4924,436
martin-ger/esp_wifi_repeater,4923,174
warmcat/libwebsockets,4918,3289
begeekmyfriend/yasea,4903,365
eradman/entr,4891,523
facebookincubator/katran,4878,908
gnif/LookingGlass,4878,3433
gluster/glusterfs,4855,10014
seL4/seL4,4847,2914
dunst-project/dunst,4830,1982
Cisco-Talos/clamav,4821,2641
espeak-ng/espeak-ng,4813,4564
moonlight-stream/moonlight-android,4812,2990
mpc-hc/mpc-hc,4799,6970
lxc/lxc,4792,5810
XProger/OpenLara,4777,1274
ARMmbed/mbed-os,4728,27286
jpmens/jo,4717,220
aleksey-hoffman/sigma-file-manager,4714,747
CloverHackyColor/CloverBootloader,4684,1595
remzi-arpacidusseau/ostep-projects,4655,199
ossec/ossec-hids,4651,2251
Qihoo360/Atlas,4650,18
LongSoft/UEFITool,4646,526
TsudaKageyu/minhook,4619,291
alibaba/AliOS-Things,4610,2606
matz/streem,4600,858
session-replay-tools/tcpcopy,4597,1132
koute/bytehound,4584,545
aws/s2n-tls,4578,4254
microshow/RxFFmpeg,4571,344
RandyGaul/cute_headers,4558,656
nanopb/nanopb,4539,1328
laruence/yaf,4526,888
coreutils/coreutils,4464,28237
coolwanglu/vim.js,4457,200
mackron/miniaudio,4451,3642
kokke/tiny-AES-c,4447,232
BasedHardware/omi,4416,5064
xiph/rnnoise,4406,156
flatpak/flatpak,4400,7245
ultrajson/ultrajson,4385,563
taviso/loadlibrary,4373,90
ThrowTheSwitch/Unity,4365,662
