name,stars,commits
tmk/tmk_keyboard,4045,1707
nanomsg/nng,3984,2331
canonical/dqlite,3983,1484
geohot/qira,3978,782
ntop/nDPI,3967,4324
portapack-mayhem/mayhem-firmware,3965,3285
Dav1dde/glad,3957,519
F-Stack/f-stack,3940,746
tanersener/mobile-ffmpeg,3937,798
kohler/gifsicle,3884,581
libjpeg-turbo/libjpeg-turbo,3881,2255
raysan5/raygui,3879,1195
opa334/Dopamine,3861,596
cilium/tetragon,3848,4590
v4l2loopback/v4l2loopback,3835,782
openrazer/openrazer,3825,1541
dankamongmen/notcurses,3808,8434
varnishcache/varnish-cache,3793,18139
xroche/httrack,3790,958
riscv-collab/riscv-gnu-toolchain,3787,638
zsh-users/zsh,3767,3107
NixOS/patchelf,3754,646
jorisvink/kore,3746,1933
contiki-os/contiki,3744,5096
janet-lang/janet,3741,3618
philippe44/AirConnect,3739,625
westes/flex,3734,924
OnionUI/Onion,3703,1304
acidanthera/Lilu,3695,552
openvswitch/ovs,3663,16232
apache/httpd,3656,19661
stephane/libmodbus,3646,883
OpenKinect/libfreenect,3635,597
zyantific/zydis,3630,1053
HarbourMasters/Shipwright,3597,2941
DPDK/dpdk,3582,22844
wishstudio/flinux,3576,817
cboxdoerfer/fsearch,3502,2109
ptitSeb/box86,3498,4789
schwabe/ics-openvpn,3490,1908
unbit/uwsgi,3486,2928
krakjoe/pthreads,3466,1211
blackmagic-debug/blackmagic,3450,5607
rvaiya/keyd,3444,504
psycopg/psycopg2,3436,2729
webui-dev/webui,3435,1000
jordansissel/xdotool,3424,591
jp9000/OBS,3413,2212
iNavFlight/inav,3405,15453
apache/age,3398,763
aubio/aubio,3398,3451
espressif/ESP8266_RTOS_SDK,3397,1024
vanhoefm/krackattacks-scripts,3392,879
foobnix/LibreraReader,3385,4483
neomutt/neomutt,3362,13384
NLnetLabs/unbound,3353,7361
premake/premake-core,3352,2085
hanwckf/rt-n56u,3319,5337
gtworek/PSBits,3317,704
littlekernel/lk,3310,2404
libffi/libffi,3308,1280
RsyncProject/rsync,3305,1040
fwupd/fwupd,3289,10530
surge-synthesizer/surge,3277,4997
yandex/odyssey,3269,2116
Proxmark/proxmark3,3269,1313
apache/guacamole-server,3266,3173
openssh/openssh-portable,3265,10533
collectd/collectd,3249,9130
rfjakob/earlyoom,3244,536
mridgers/clink,3240,2100
hpjansson/chafa,3237,1420
containers/crun,3236,2518
geany/geany,3221,10388
cilium/pwru,3216,516
orioledb/orioledb,3212,849
ireader/media-server,3210,1283
libopencm3/libopencm3,3203,2292
enjoy-digital/litex,3197,7740
Celtoys/Remotery,3193,838
pgbouncer/pgbouncer,3188,1590
stellar/stellar-core,3188,9936
spdk/spdk,3177,13627
86Box/86Box,3172,12024
namhyung/uftrace,3171,4061
ohler55/oj,3168,1373
wechat-miniprogram/minigame-unity-webgl-transform,3158,560
google/honggfuzz,3152,3066
Stichting-MINIX-Research-Foundation/minix,3145,5291
libarchive/libarchive,3144,5539
TASEmulators/desmume,3141,3592
HyperDbg/HyperDbg,3139,2351
checkpoint-restore/criu,3133,10339
nmap/npcap,3132,2311
ivmai/bdwgc,3129,5092
zmkfirmware/zmk,3124,2566
axel-download-accelerator/axel,3116,875
MiSTer-devel/Main_MiSTer,3114,1775
hexchat/hexchat,3113,1510
microsoft/ebpf-for-windows,3110,2700
NetHack/NetHack,3110,8745
FreeRTOS/FreeRTOS-Kernel,3099,3823
iqiyi/dpvs,3095,943
sysstat/sysstat,3094,1926
Simple-XX/SimpleKernel,3086,1274
SynoCommunity/spksrc,3078,3354
gozfree/gear-lib,3076,668
rubinius/rubinius,3072,16384
xemu-project/xemu,3063,7601
json-c/json-c,3056,959
axboe/liburing,3053,2649
weechat/weechat,3049,12968
slact/nchan,3035,3504
sustrik/libmill,3029,971
unikraft/unikraft,3015,3248
civetweb/civetweb,3007,4231
tvheadend/tvheadend,2995,10922
tvheadend/tvheadend,2995,10922
Legrandin/pycryptodome,2975,2374
joncampbell123/dosbox-x,2963,20677
stm32duino/Arduino_Core_STM32,2952,3031
irssi/irssi,2945,1582
gpac/gpac,2939,16808
winscp/winscp,2936,6095
acl-dev/acl,2934,1679
InfiniTimeOrg/InfiniTime,2930,1758
saminiir/level-ip,2929,567
ElementsProject/lightning,2927,15774
Ewenwan/ShiYanLou,2918,2015
RamonUnch/AltSnap,2903,810
bvschaik/julius,2901,2699
jeelabs/esp-link,2889,607
